"id";"name"
"2";"Abarth"
"8";"Aiways"
"12";"Alfa Romeo"
"14";"Alpina"
"15";"Alpine"
"26";"Aston Martin"
"27";"Audi"
"35";"Bentley"
"40";"Bmw"
"41";"Bollore"
"51";"Bugatti"
"55";"Cadillac"
"61";"Caterham"
"66";"Chevrolet"
"68";"Chrysler"
"69";"Citroen"
"75";"Cupra"
"76";"Dacia"
"77";"Daewoo"
"79";"Daihatsu"
"89";"De Tomaso"
"96";"Dodge"
"98";"Donkervoort"
"101";"Ds"
"113";"Fam Automobiles"
"116";"Ferrari"
"117";"Fiat"
"120";"Ford"
"128";"Ginetta"
"143";"Hommell"
"144";"Honda"
"149";"Hummer"
"150";"Hyundai"
"152";"Infiniti"
"160";"Isuzu"
"162";"Iveco"
"163";"Jaguar"
"165";"Jeep"
"169";"Kia"
"171";"Ktm"
"172";"Lada"
"174";"Lamborghini"
"175";"Lancia"
"176";"Land Rover"
"180";"Ldv"
"181";"Lexus"
"189";"Lotus"
"192";"Mahindra"
"193";"Man"
"199";"Maserati"
"200";"Matra"
"201";"Maybach"
"202";"Mazda"
"203";"Mclaren"
"205";"Mega"
"207";"Mercedes"
"208";"Mercedes-amg"
"213";"Mg"
"214";"Mia Electric"
"217";"Mini"
"218";"Mitsubishi"
"222";"Morgan"
"232";"Nissan"
"238";"Opel"
"247";"Peugeot"
"248";"Pgo"
"253";"Polestar"
"256";"Porsche"
"264";"Renault"
"271";"Rolls Royce"
"274";"Rover"
"276";"Saab"
"282";"Santana"
"289";"Seat"
"296";"Skoda"
"297";"Smart"
"303";"Ssangyong"
"307";"Subaru"
"309";"Suzuki"
"314";"Tesla"
"316";"Toyota"
"319";"Tvr"
"327";"Venturi"
"332";"Volkswagen"
"334";"Volvo"
"337";"Westfield"
"338";"Wiesmann"
